term,pos,comment,af,comment_af,ar,comment_ar,be,comment_be,bg,comment_bg,bn,comment_bn,ca,comment_ca,cs,comment_cs,da,comment_da,de,comment_de,el,comment_el,eo,comment_eo,es,comment_es,et,comment_et,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,gu,comment_gu,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,km,comment_km,ko,comment_ko,ku,comment_ku,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr,comment_mr,ms,comment_ms,my,comment_my,nl,comment_nl,no,comment_no,pl,comment_pl,pt_BR,comment_pt_BR,pt_PT,comment_pt_PT,ro,comment_ro,ru,comment_ru,si,comment_si,sk,comment_sk,sl,comment_sl,sq,comment_sq,sr,comment_sr,sv,comment_sv,ta,comment_ta,th_TH,comment_th_TH,tr,comment_tr,uk,comment_uk,ur,comment_ur,uz,comment_uz,vi,comment_vi,zh_CN,comment_zh_CN,zh_TW,comment_zh_TW
currency,Noun,,,,,,,,,,,,,,,,,,,,,,,,moneda,,,,,,,,,,,,,,,,,,,,,,,,,,moneta,,,,,,រូបិយប័ណ្ណ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decentralization,Noun,,,,اللامركزية,,,,,,,,,,,,,,,,,,,,descentralización,,,,,,,,,,Décentraliser,,,,,,,,decentralizacija,,,,,,,,decentralizzazione,,,,,,វិមជ្ឈការ,,,,,,decentralizacija,,,,,,,,,,,,,,,,decentralisatie,,,,,,,,descentralização,,,,децентрализация,,,,,,,,,,,,decentralisering,,,,,,,,,,,,,,,,非中心化,,,
definition,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,definizione,,,,,,និយមន័យ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deflationary spiral,Noun,,,,دوامة انكماشية,انكماش حلزوني,,,,,,,,,,,,,,,,,,,espiral de deflación,espiral de deflación/espiral deflacionaria,,,,,,,,,,,,,,,,,deflatorna spirala,,deflációs spirál,,,,,,spirale deflazionaria,,,,,,បរិត្តផរណាកើនឡើង,,,,,,defliacijos spiralė,,,,,,,,,,,,,,,,,,,,,,,,,,,,дефляционная спираль,,,,,,deflacijska spirala,,,,,,deflationsspiral,,,,,,,,,,,,,,,,,,,
deploy,Verb,,,,نشر,,,,,,,,implementar,,,,,,ausgelöst,"deploy wurde einmal als ""empfangen"", und einmal als ""gesendet"" übersetzt. Eines von beidem muss also falsch sein *g*. Ich verstehe ""deploy"" im Sinne von verteilen/auslösen. (Empfangen/Gesendet ist eine Zahlung nach x Confirmations; deployed wird in den englischen Strings aber im Kontext von SOFORT benutzt).",,,,,desplegar,,,,,,,,,,déployer,,,,,,,,rasporediti,,,,,,,,schierare,,,,,,ពង្រាយ,,,,,,,,,,,,വിന്യസിക്കുക,,,,,,,,,,implementeren,This is context-dependent for Dutch,,,,,,,,,,,внедрить,?,,,,,,,,,,,,,,,,,dağıtmak,,,,,,,,,,部署,,,
deprecated,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disapprovare,,,,,,,,,,,,nebenaudojamas,,,,,,,,,,,,,,,,,,,,,,,,descontinuado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,废弃,或废弃的,,
detail,Noun,,,,,,,,,,,,,,,,,,,,,,,,detalle,,,,,,,,,,,,,,,,,,,,,,,,,,dettaglio,,,,,,ព័ត៌មានលម្អិត,,,,,,detalė,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,细节,,,
detailed,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dettagliato,,,,,,ដែលបានពិស្តារ,,,,,,detalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
details,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dettagli,,,,,,ពិស្តារច្រើន,,,,,,detalės,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deterministically,Adverb,,,,حتمي,,,,,,,,,,,,,,,,,,,,de una manera determinista,,,,,,,,,,,,,,,,,,deterministički,,,,,,,,deterministico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deterministiskt,,,,,,,,,,,,,,,,,,,
developer,Noun,,,,مطور,,,,,,,,,,,,,,,,,,,,desarrollador,,,,توسعه‌دهنده,,,,,,,,,,,,,,razvijatelj,,fejlesztő,,,,,,sviluppatore,,,,,,អ្នកអភិវឌ្ឍន៍,,,,,,,,,,,,,,,,,,,,,,ontwikkelaar,,,,,,,,,,,,разработчик,,,,,,razvijalec,,,,,,utvecklare,,,,,,,,розробник,,,,,,,,开发者,,,
developer documentation,Noun,,,,,,,,,,,,,,,,,,Entwicklerdokumentation,,,,,,documentación para desarrollador,,,,مستندات توسعه دهنده,,,,,,,,,,,,,,,,fejlesztői dokumentáció,,,,,,documentazione per sviluppatori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,utvecklardokumentation,,,,,,,,,,,,,,,,开发文档,,,
developers,Noun,,,,مطورون,,,,,,,,,,,,,,,,,,,,desarrolladores,,,,توسعه دهندگان,,,,,,,,,,,,,,,,,,,,,,sviluppatori,,,,,,អ្នកអភិវឌ្ឈន៍ច្រើន,,,,,,,,,,,,,,,,,,,,,,ontwikkelaars,,,,,,,,,,,,,,,,,,,,,,,,utvecklare,,,,,,,,,,,,,,,,,,,
device,Noun,,,,أداة,,,,,,,,aparell,,,,,,,,,,,,dispositivo,,,,دستگاه,,,,,,appareil,,,,,,,,uređaj,,készülék,,,,,,dispositivo,,,,,,ឧបករណ៍,,,,,,,,,,,,ഉപകരണം,,,,,,,,,,apparaat,,,,urządzenie,,,,dispositivo,,,,устройство,,,,,,naprava,,,,,,enhet,,,,,,aygıt,,пристрій,,,,,,,,设备,,裝置,
different,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diverso,,,,,,ផ្សេងគ្នា,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
directory,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,registro,"oppure ""elenco""",,,,,ទីតាំងទិសដៅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,கோப்பகம்,,,,,,,,,,,,,,,,,
disadvantage,Adjective,,,,سلبي,,,,,,,,,,,,,,,,,,,,desventaja,,,,,,,,,,Désavantage,,,,,,,,,,,,,,,,svantaggiato,,,,,,គុណវិបត្តិ,,,,,,trūkumas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nackdel,,,,,,,,,,,,,,,,劣势,,,
disadvantages,Adjective,,,,سلبيات,,,,,,,,,,,,,,,,,,,,desventajas,,,,,,,,,,Désanvantagé,,,,,,,,,,,,,,,,svantaggiati,,,,,,គុណវិបត្តិ,,,,,,trūkumai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nackdelar,,,,,,,,,,,,,,,,,,,
disclaimer,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ansvarsfriskrivning,,,,,,,,,,,,,,,,,,,
disclosure,Noun,,,,كشف,,,,,,,,,,,,,,,,,,,,revelados de información,,,,,,,,,,Divulger,,,,,,,,,,,,,,,,rivelazione,,,,,,ការបញ្ចេញព័ត៍មាន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avslöjande,,,,,,,,,,,,,,,,,,,
discover,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scoprire,,,,,,ធ្វើរបបគំហើញ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discuss,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discutere,,,,,,ពិភាក្សា,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dispute,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvist,,,,,,,,,,,,,,,,,,,
dispute mediation,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvistmedling,,,,,,,,,,,,,,,,,,,
document,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,documento,,,,,,ឯកសារ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
documentation,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,documentazione,,,,,,ការផ្ដល់នូវឯកសារ,,,,,,dokumentacija,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
documents,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,documenti,,,,,,ឯកសារច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double-spend,Noun,,,,انفاق مزدوج,,,,,,,,doble despesa,,,,,,,,,,,,doble gasto,,,,,,,,,,double dépense,,,,,,,,dvostruko trošenje,Pokušaj trošenja iste transakcije dva puta,dupla költés,,,,,,doppia-spesa,,,,,,ចំណាយផ្ទួន,,,,,,,,,,,,,ഇരട്ട വിനിമയം,,,,,,,,,dubbele uitgave,,,,,,,,,,,,двойное расходование средств,расходование одних и тех же средств для двух различных транзакций,,,,,dvojno trošenje,,,,,,dubbelspendering,,,,,,cift-harcama,,,,,,,,,,双重支付,,雙重支付,
dynamic,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dinamico,,,,,,ឌីណាមិក,,,,,,dinamika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
early adopter,Noun,,,,المتبنين الأوائل,,,,,,,,,,,,,,,,,,,,cliente tempranero,sólo en este contexto,,,,,,,,,utilisateurs précoces,,,,,,,,,,korai elfogadó,A jó öreg Rogers-féle innovációelfogadási elméletből.,,,,,utilizzatore precoce,,,,,,អ្នកចំនុះថ្មីថ្មោង,,얼리 어답터,,,,,,,,,,ആദ്യകാല സ്വീകർത്താവ്,,,,,,,,,,early adopter,,,,,,,,,,,,"ранний последователь, первопроходец",,,,,,zgodnji uporabnik,,,,,,tidig användare,,,,,,erken sahip olanlar,,,,,,,,,,早期采用者,,,
edit,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modificare,,,,,,កែ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redigera,,,,,,,,,,,,,,,,,,,
emerging,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,framväxande,,,,,,,,,,,,,,,,,,,
encrypted,Adjective,,,,مشفرة,,,,,,,,,,,,,,,,,,,,cifrado,,,,,,,,,,Chiffré,,,,,,,,enkriptirano,,titkosított,,,,,,criptato,,,,,,ដែលធ្វើឲ្យពិបាកយល់,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,зашифрованный,,,,,,,,,,,,krypterad,,,,,,,,,,,,,,,,,,,
event,Noun,,,,,,,,,,,,,,,,,,Event,,,,,,evento,,,,واقعه,,,,,,Évênement,,,,,,,,Događaj,,,,,,,,Evento,,,,,,ព្រឹត្តិការណ៍,,,,,,įvykis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,händelse; evenemang,,,,,,,,,,,,,,,,,,,
events,Noun,,,,,,,,,,,,,,,,,,Events,,,,,,eventos,,,,,,,,,,Évênements,,,,,,,,,,,,,,,,eventi,,,,,,ព្រឹត្តិការណ៍ច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,händelser; evenemang,,,,,,,,,,,,,,,,,,,
example,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esempio,,,,,,ឧទាហរណ៍,,,,,,pavyzdys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
examples,Noun,,,,,,,,,,,,,,,,,,,,,,,,ejemplos,,,,,,,,,,,,,,,,,,,,,,,,,,esempi,,,,,,ឧទាហរណ៍ច្រើន,,,,,,pavyzdžiai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchange,Noun,,,,صرّاف,,,,,,,,canvi,,,,,,Börse,,"ανταλλαγή, ανταλλακτήριο",αναλόγως το νόημα ,,,casa de cambio,,,,صرافی,منظورش سایتهایی هست که بیت کوین رو exchange میکنن همون صرافی,,,,,bourse de change,,,,,,,,razmjena/mjenjačnica,,tőzsde,,,,,,exchange,"o ""borsa di cambio""",,,,,ការប្តូរ,,,,,,,,,,,,വിനിമയം,,,,,,,,,,uitwisseling / wisselkantoor,Context-dependent,,,,,,,,,,,"обмен, обменник",,,,,,menjalnica,,,,,,börs,,,,,,bozdurma,,обмін,,,,,,,,交易平台,,,
exchange,Verb,,,,تبادل,,,,,,,,,,,,,,,,,,,,intercambio,,,,,,,,,,Échanger,,,,,,,,razmijeniti,,,,,,,,cambiare,"inteso come ""cambio di valuta""",,,,,ដោះដូរ,,,,,,,,,,,,,,,,,,,,,,uitwisselen,,,,,,,,,,,,обменивать,,,,,,,,,,,,utbyta,,,,,,,,обмінювати,,,,,,,,兑换,,,
existing,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esistente,,,,,,កំពុងនៅមាន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fee,Noun,,,,,,,,,,,,,,,,,,,,,,,,comisión,tasa,,,,,,,,,,,,,,,,,,,díj,,,,,,tassa,,,,,,តម្លៃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fees,Noun,,,,رسوم,,,,,,,,,,,,,,,,,,,,comisiones,tasas,,,,,,,,,,,,,,,,,,,díjak,,,,,,tasse,,,,,,តម្លៃច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avgifter,,,,,,,,,,,,,,,,交易费,,,
fiat currency,Noun,"Surely this must be an error and it should be ""fiat currency""? - FIXED",,,عملة مسطحة,,,,,,,,,,,,,,gesetzliches Zahlungsmittel,,,,,,moneda fiduciaria,se refiere a una moneda que deriva su valor de lo que establece la ley,,,,,,,,,monnaie fiduciaire,,,,,,,,,,fiatpénz,,,,,,moneta fiat,,,,,,រូបិវត្ថុរាបស្មើ,,불환(不換)화폐,한자 생략,,,,,,,,,ഫിയറ്റ് നാണയം,,,,,,,,,,fiduciaire valuta,,,,,,,,,,,,фиатная валюта,,,,,,fiatna valuta,,,,,,fiatpengar,"det ska vara ""fiat currency"" på engelska",,,,,(hükümete bağlı) para birimi,,,,,,,,,,法定货币,,,
find,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trovare,,,,,,រក,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firmware,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inbyggd programvara,,,,,,,,,,,,,,,,,,,
first,Adjective,,,,,,,,,,,,,,,,,,,,,,,,primeros,,,,,,,,,,Premier,,,,,,,,,,,,,,,,primo,,,,,,ទីបួយ​ ដំបូង,,,,,,,,,,,,,,,,,,,,,,eerste,,,,,,,,,,,,,,,,,,,,,,,,först,,,,,,,,,,,,,,,,,,,
first,Pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for,Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,per,,,,,,សំរាប់,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from,Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,da,,,,,,ពី,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pieno,,,,,,ពេញ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fullständig,Microsoft Language Portal,,,,,,,,,,,,,,,,,,
full node,Noun,,,,عقدة كاملة,,,,,,,,,,,,,,Full Node,(adapted from http://bitcoin.org/en/faq#what-does-synchronizing-mean-and-why-does-it-take-so-long),,,,,nodo completo,,,,گره شبکه,,,,,,Noeud complet,,,,,,,,puni čvor,Bitcoin čvor koji ima pohranjen cijeli lanac blokova.,teljes csomópont,,,,,,nodo completo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,полный узел,,,,,,polno vozlišče,,,,,,fullständig nod,,,,,,,,,,,,,,,,,,,
fund,Noun,,,,تمويل,,,,,,,,,,,,,,Geld,"@Komodorpudel ""funds"" und ""money"" wird nahezu konsistent mit Geld übersetzt; Für mich ist nur ""money"" ""Geld"". Wie wäre es mit ""Geldmittel"" für ""funds""?",,,,,proveer fondos,,,,,,,,,,fond,,,,,,,,fond,,anyagi forrás,,,,,,fondo,,,,,,,,,,,,,,,,,,നിക്ഷേപം,,,,,,,,,,geld,This is context-dependent for Dutch,,,,,,,,,,,"средства, фонд",,,,,,sklad,,,,,,tillgång,,,,,,fon,,,,,,,,,,资金,,,
funds,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sredstva,,,,,,,,,,,,,,,,,,,,,,,,,
fungible,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fungibel,,,,,,,,,,,,,,,,,,,
get,Verb,,,,,,,,,,,,,,,,,,,,,,,,obtener,,,,,,,,,,,,,,,,,,,,,,,,,,ottenere,,,,,,ទទួល,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glossary,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glossario,,,,,,សទ្ទានុក្រម,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordlista,,,,,,,,,,,,,,,,,,,
goods,Noun,,,,,,,,,,,,,,,,,,,,,,,,bienes,,,,,,,,,,,,,,,,,,,,,,,,,,beni,,,,,,ទំនិញច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varor,,,,,,,,,,,,,,,,,,,
guide,Noun,,,,,,,,,,,,,,,,,,,,,,,,guía,,,,,,,,,,Guide,,,,,,,,,,,,,,,,guida,,,,,,មគ្គុទេសករ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guide,,,,,,,,,,,,,,,,指导,,,
guide,Verb,,,,,,,,,,,,,,,,,,,,,,,,guíar,,,,,,,,,,Guider,,,,,,,,,,,,,,,,guidare,,,,,,មគ្គុទេស,,,,,,"vesti, vadovauti",,,,,,,,,,,,,,,,begeleiden,,,,,,,,,,,,,,,,,,,,,,,,guida,,,,,,,,,,,,,,,,,,,
guides,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guide,,,,,,មគ្គុទេសច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hack,Noun,,,,,,,,,,,,,,,,,,,,,,,,hack,,,,,,,,,,Pirate,,,,,,,,,,,,,,,,hack,,,,,,ការលុកលុយ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,взлом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hacked,Verb,,,,,,,,,,,,,,,,,,,,,,,,hackear,,,,,,,,,,Pirater,,,,,,,,,,,,,,,,violato,,,,,,បានលុកលុយ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hacker,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hackare,,,,,,,,,,,,,,,,,,,
hardware wallet,Noun,,,,محفظة عتادية,,,,,,,,,,,,,,,,,,,,monedero de hardware,,,,,,,,,,portefeuille matériel,,,,,,,,hardverski novčanik,,hidegtárca,,,,,,portafoglio hardware,,,,,,កាបូបផ្នែករឹង,,하드웨어 지갑,,,,,,,,,,ഹാർഡ്വെയർ പണസഞ്ചി,,,,,,,,,,hardwareportemonnee,,,,,,,,,,,,устройство для хранения биткойнов,,,,,,hardverska denarnica,,,,,,hårdvaruplånbok,,,,,,donanımsal cüzdan,,,,,,,,,,物理钱包,,,
hash,Noun,,,,,,,,,,,,,,,,,,,,,,,,hash,se refiere a una función de un algoritmo,,,,,,,,,,,,,,,,,,,hash,,,,,,hash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,хэш-код,,,,,,,,,,,,hash,,,,,,,,,,,,,,,,哈希,,,
hash rate,Noun,,,,معامل التشفير,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stopa hasha,Mjerna jedinica za procesorsku snagu bitcoin mreže.,hashráta,,,,,,hash rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,мощность хэширования,,,,,,hitrost zgoščevanja,,,,,,hashtakt,,,,,,,,,,,,,,,,哈希率,,,
header,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intestazione,,,,,,,,,,,,Viršutinis kolontitulas,,,,,,,,,,,,,,,,header,,,,,,,,,,,,,,,,,,,,,,,,rubrik,,,,,,,,,,,,,,,,头部,"如上下文指Block Header，翻译为区块头
如上下文指C/C++ Header File，翻译为头文件
如上下文指其他格式中的开头部分，翻译为头
在不同的计算机语言中翻译都不尽相同，尽量采用一种通用表达，无歧义可理解的译文为头部。",,
help,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aiutare,,,,,,ជូយ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
here,Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qui,,,,,,ទីនេះ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
histories,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,storie,,,,,,ប្រវត្តច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
history,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,storia,,,,,,ប្រវត្ត,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host,Verb,,,,المستقبِل,,,,,,,,,,,,,,lagern,,,,,,anfitrión,no se recomienda traducir,,,,,,,,,héberger,,,,,,,,poslužitelj,,gazda,,,,,,ospitare,,,,,,,,호스트,,,,,,,,,,ആദിത്യം വഹിക്കുക,,,,,,,,,,hosten,,,,,,,,,,,,размещать,,,,,,gostitelj,,,,,,värd,,,,,,tutmak,,хост,,,,,,,,,,託管,
how to,Verb,,,,,,,,,,,,,,,,,,,,,,,,cómo,,,,,,,,,,,,,,,,,,,,,,,,,,come,,,,,,ធ្វើរបៀបណាដើម្បី,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,Conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,se,,,,,,បើ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illegal,Adjective,,,,,,,,,,,,,,,,,,,,,,,,ilegal,,,,,,,,,,Illégal,,,,,,,,,,,,,,,,illegale,,,,,,មិនស្របច្បាប់,,,,,,nelegalus,,,,,,,,,,,,,,,,illegaal,,,,,,,,,,,,,,,,,,,,,,,,olaglig,"Kan det inte bbetyda ""otillåten"" också?",,,,,,,,,,,,,,,,,,
immaterial,Adjective,,,,,,,,,,,,,,,,,,,,,,,,inmaterial,,,,,,,,,,,,,,,,,,,,,,,,,,immateriale,,,,,,ដែលគ្មានរូបរាង​​ ដែលមិនមានទំនាក់ទំនង,,,,,,,,,,,,,,,,,,,,,,immaterieel,,,,,,,,,,,,,,,,,,,,,,,,immateriell,,,,,,,,,,,,,,,,,,,
in,Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nel,,,,,,ក្នុង,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
